Rank,Movie Name
1,Reservoir Dogs
2,Groundhog Day
3,Paddington 2
4,Amelie
5,Brokeback Mountain
6,Donnie Darko
7,Scott Pilgrim Vs. The World
8,Portrait Of A Lady On Fire
9,Léon
10,Logan
11,The Terminator
12,No Country For Old Men
13,Titanic
14,The Exorcist
15,Black Panther
16,Shaun Of The Dead
17,Lost In Translation
18,Thor: Ragnarok
19,The Usual Suspects
20,Psycho
21,L.A. Confidential
22,E.T. – The Extra Terrestrial
23,In The Mood For Love
24,Star Wars: Return Of The Jedi
25,Arrival
26,A Quiet Place
27,Trainspotting
28,Mulholland Drive
29,Rear Window
30,Up
31,Spider-Man: Into The Spider-Verse
32,Inglourious Basterds
33,Lady Bird
34,Singin' In The Rain
35,One Flew Over The Cuckoo's Nest
36,Seven Samurai
37,La La Land
38,Get Out
39,Lawrence Of Arabia
40,Pan's Labyrinth
41,Hot Fuzz
42,Moonlight
43,Guardians Of The Galaxy
44,Blade Runner 2049
45,The Social Network
46,Taxi Driver
47,Saving Private Ryan
48,Forrest Gump
49, Point Break
50,Whiplash
51,Vertigo
52,Spirited Away
53,Ghostbusters
54,Do The Right Thing
55,Schindler's List
56,The Big Lebowski
57,It's A Wonderful Life
58,There Will Be Blood
59,12 Angry Men
60,The Silence Of The Lambs
61, Citizen Kane
62,Gladiator
63,"The Good, The Bad And The Ugly"
64,Se7en
65,Eternal Sunshine Of The Spotless Mind
66,The Shining
67,The Lord Of The Rings: The Two Towers
68,Casablanca
69,The Thing
70,Interstellar
71,Heat
72,Apocalypse Now
73,Indiana Jones And The Last Crusade
74,The Lord Of The Rings The Return Of The King
75,Die Hard
76,Fight Club
77,Terminator 2 Judgment Day
78,2001: A Space Odyssey
79,Avengers: Endgame
80,Alien
81,The Matrix
82,Inception
83,Parasite
84,Aliens
85,Blade Runner
86,Jurassic Park
87,The Godfather Part II
88,Back To The Future
89,Mad Max: Fury Road
90,Star Wars
91,Goodfellas
92,Raiders Of The Lost Ark
93,Avengers: Infinity War
94,Pulp Fiction
95,Jaws
96,The Shawshank Redemption
97,The Dark Knight
98,The Godfather
99,Star Wars: The Empire Strikes Back
100,The Lord Of The Rings: The Fellowship Of The Ring
